Date,Type,Amount,To/From
"Jul 7, 2022, 7:37:27 PM IST",Paid,₹815.00,
"Jul 4, 2022, 8:41:19 PM IST",Sent,₹40.00,
"Jul 4, 2022, 4:43:15 PM IST",Received,₹6.00,Google
"Jul 4, 2022, 4:42:54 PM IST",Sent,₹180.00,
"Jul 4, 2022, 4:02:17 PM IST",Received,₹600.00,
"Jul 3, 2022, 9:59:18 PM IST",Paid,₹500.00,CCAVENUES
"Jul 3, 2022, 9:54:39 PM IST",Paid,₹1000.00,Techprocess
"Jul 2, 2022, 7:39:18 PM IST",Paid,₹242.00,my sundirect
"Jul 2, 2022, 7:35:07 PM IST",Paid,₹99.00,Vi Prepaid
"Jul 2, 2022, 7:32:25 PM IST",Paid,₹395.00,Jio Mobility
"Jul 2, 2022, 7:18:28 PM IST",Paid,₹647.82,ACT Broadband
"Jul 2, 2022, 2:40:00 PM IST",Paid,₹100.00,New Get More Supermarket
"Jul 2, 2022, 2:30:42 PM IST",Paid,₹330.00,Salem R R Catering S
"Jun 30, 2022, 9:05:04 AM IST",Sent,₹4300.00,
"Jun 28, 2022, 9:07:59 AM IST",Paid,₹15.00,Jio Prepaid
"Jun 24, 2022, 12:42:07 PM IST",Paid,₹16.00,
"Jun 22, 2022, 8:20:41 AM IST",Paid,₹1068.50,IndianOil Corporation Ltd
"Jun 22, 2022, 8:17:26 AM IST",Paid,₹300.00,
"Jun 22, 2022, 8:17:19 AM IST",Paid,₹300.00,
"Jun 22, 2022, 8:17:11 AM IST",Received,₹800.00,
"Jun 22, 2022, 8:17:00 AM IST",Paid,₹300.00,
"Jun 21, 2022, 8:17:31 PM IST",Sent,₹7500.00,
"Jun 21, 2022, 8:16:14 PM IST",Paid,₹4000.00,
"Jun 21, 2022, 8:14:31 PM IST",Received,₹3500.00,
"Jun 20, 2022, 7:50:47 PM IST",Sent,₹1200.00,
"Jun 20, 2022, 7:50:16 PM IST",Received,₹1200.00,
"Jun 19, 2022, 9:01:14 PM IST",Paid,₹242.00,my sundirect
"Jun 19, 2022, 9:00:46 PM IST",Paid,₹100.00,
"Jun 19, 2022, 9:00:37 PM IST",Paid,₹100.00,
"Jun 19, 2022, 8:45:28 PM IST",Paid,₹242.00,SUN DIRECT TV PRIVATE LIMITED
"Jun 19, 2022, 8:44:40 PM IST",Paid,₹242.00,my sundirect
"Jun 18, 2022, 11:18:37 PM IST",Sent,₹200.00,
"Jun 18, 2022, 8:18:31 PM IST",Paid,₹515.00,Al Arabian Delights Madipakkam
"Jun 17, 2022, 8:30:07 PM IST",Paid,₹698.00,Jk Stores
"Jun 14, 2022, 8:37:41 PM IST",Paid,₹99.00,Vi Prepaid
"Jun 14, 2022, 7:26:50 PM IST",Paid,₹5000.00,
"Jun 14, 2022, 7:24:36 PM IST",Sent,₹5000.00,
"Jun 13, 2022, 10:09:44 AM IST",Paid,₹99.00,Vi Prepaid
"Jun 12, 2022, 10:20:49 AM IST",Received,₹6.00,Google
"Jun 12, 2022, 10:20:21 AM IST",Sent,₹9200.00,
"Jun 12, 2022, 10:10:43 AM IST",Received,₹5000.00,
"Jun 11, 2022, 8:14:51 PM IST",Sent,₹300.00,
"Jun 7, 2022, 9:36:00 PM IST",Paid,₹239.00,Airtel Prepaid
"Jun 7, 2022, 8:39:33 PM IST",Paid,₹285.00,
"Jun 5, 2022, 8:12:35 PM IST",Paid,₹25.00,Jio Prepaid
"Jun 5, 2022, 10:37:06 AM IST",Sent,₹300.00,
"Jun 5, 2022, 10:36:42 AM IST",Received,₹32.00,
"Jun 4, 2022, 9:17:39 PM IST",Paid,"₹20,000.00",
"Jun 3, 2022, 9:03:58 PM IST",Paid,"₹30,000.00",
"Jun 2, 2022, 8:00:28 PM IST",Paid,"₹10,000.00",
"Jun 2, 2022, 7:59:42 PM IST",Paid,"₹40,000.00",
"Jun 2, 2022, 9:59:27 AM IST",Sent,₹5000.00,
"Jun 1, 2022, 10:13:11 PM IST",Paid,₹500.00,AVENUES GRT JEWELLERS INDIA PRIVATE LIMITED
"Jun 1, 2022, 10:09:43 PM IST",Paid,₹1000.00,Techprocess
"Jun 1, 2022, 10:06:57 PM IST",Paid,₹3000.00,
"Jun 1, 2022, 10:05:13 PM IST",Paid,₹647.82,ACT Broadband
"May 31, 2022, 9:58:46 AM IST",Paid,₹10.00,
"May 30, 2022, 10:40:36 PM IST",Paid,₹5000.00,
"May 30, 2022, 10:11:57 PM IST",Received,₹5000.00,
"May 30, 2022, 9:40:15 AM IST",Paid,₹40.00,SELVAKUMAR J
"May 29, 2022, 11:32:03 AM IST",Sent,₹300.00,
"May 28, 2022, 9:49:31 AM IST",Paid,₹50.00,Vi Prepaid
"May 28, 2022, 9:36:45 AM IST",Paid,₹50.00,SELVAKUMAR J
"May 27, 2022, 9:58:16 PM IST",Paid,₹40.00,
"May 27, 2022, 9:42:52 AM IST",Paid,₹50.00,SELVAKUMAR J
"May 26, 2022, 10:03:26 PM IST",Paid,₹339.00,Amazon Pay
"May 26, 2022, 9:25:38 PM IST",Paid,₹181.00,Jio Prepaid
"May 26, 2022, 9:25:26 PM IST",Paid,₹181.00,Jio Prepaid
"May 26, 2022, 6:39:26 PM IST",Paid,₹90.00,Dheeraj Kumar Ram
"May 26, 2022, 8:50:22 AM IST",Paid,₹95.00,Tamil Nadu Electricity (TNEB)
"May 25, 2022, 8:43:44 PM IST",Paid,₹15.00,Amman Chettinadu Hotel
"May 25, 2022, 9:49:48 AM IST",Paid,₹40.00,SELVAKUMAR J
"May 23, 2022, 10:26:19 PM IST",Paid,₹25.00,Jio Prepaid
"May 23, 2022, 9:49:11 AM IST",Paid,₹40.00,SELVAKUMAR J
"May 22, 2022, 9:01:08 PM IST",Paid,₹50.00,V L GANESH
"May 21, 2022, 9:41:28 PM IST",Sent,₹434.00,
"May 21, 2022, 9:40:08 PM IST",Received,₹217.00,
"May 16, 2022, 7:05:29 PM IST",Sent,₹3.00,
"May 14, 2022, 11:27:59 AM IST",Paid,₹61.00,Jio Prepaid
"May 13, 2022, 9:06:55 PM IST",Paid,₹780.00,STATE TRANSPORT CORPORATION
"May 13, 2022, 8:42:10 PM IST",Paid,₹1000.00,
"May 13, 2022, 8:40:49 PM IST",Paid,₹780.00,STATE TRANSPORT CORPORATION
"May 13, 2022, 9:55:18 AM IST",Paid,₹319.00,Airtel Prepaid
"May 12, 2022, 8:15:50 AM IST",Paid,₹15.00,Jio Prepaid
"May 11, 2022, 7:29:20 PM IST",Received,₹1.00,
"May 10, 2022, 8:39:05 PM IST",Paid,₹94.20,APOLLO PHARMACY
"May 10, 2022, 7:33:29 PM IST",Received,₹2000.00,
"May 10, 2022, 10:01:04 AM IST",Paid,₹400.00,
"May 9, 2022, 7:30:11 PM IST",Paid,₹105.00,8TH STREET SNACK HOUSE
"May 9, 2022, 7:29:03 PM IST",Paid,₹105.00,8TH STREET SNACK HOUSE
"May 9, 2022, 4:52:57 PM IST",Sent,₹5000.00,
"May 8, 2022, 6:33:59 PM IST",Sent,₹8950.00,
"May 7, 2022, 11:17:57 PM IST",Paid,₹10.00,Jar
"May 7, 2022, 10:11:49 PM IST",Sent,₹100.00,
"May 6, 2022, 4:14:00 PM IST",Sent,₹50.00,
"May 5, 2022, 9:29:45 AM IST",Paid,₹80.00,SELVAKUMAR J
"May 5, 2022, 9:14:31 AM IST",Paid,₹80.00,R Kalieswaran
"May 4, 2022, 7:18:17 PM IST",Paid,₹1200.00,
"May 4, 2022, 7:18:08 PM IST",Received,₹1200.00,
"May 4, 2022, 11:36:58 AM IST",Paid,"₹20,000.00",
"May 3, 2022, 7:52:04 PM IST",Sent,₹600.00,
"May 3, 2022, 7:16:53 PM IST",Paid,₹305.00,
"May 3, 2022, 6:11:11 AM IST",Paid,₹239.00,Airtel Prepaid
"May 2, 2022, 11:19:45 PM IST",Paid,₹9000.00,
"May 2, 2022, 10:33:39 PM IST",Paid,₹242.00,my sundirect
"May 2, 2022, 10:14:33 PM IST",Paid,₹1000.00,Techprocess
"May 2, 2022, 10:11:13 PM IST",Paid,₹647.82,ACT  Broadband
"May 2, 2022, 9:53:53 PM IST",Paid,₹99.00,Airtel Prepaid
"May 1, 2022, 7:31:54 PM IST",Paid,₹60.00,Dilip Kumar
"Apr 30, 2022, 7:38:59 PM IST",Paid,₹370.80,BOOKMYSHOW
"Apr 29, 2022, 8:08:34 PM IST",Paid,₹15.00,Jio Prepaid
"Apr 28, 2022, 10:24:00 AM IST",Paid,₹25.00,Jio Prepaid
"Apr 25, 2022, 8:33:54 AM IST",Paid,₹61.00,Jio Prepaid
"Apr 24, 2022, 6:39:32 PM IST",Paid,₹1170.00,
"Apr 24, 2022, 6:39:23 PM IST",Paid,₹1170.00,
"Apr 23, 2022, 8:48:35 PM IST",Paid,₹179.00,Vi Prepaid
"Apr 23, 2022, 5:31:45 PM IST",Received,₹100.00,
"Apr 23, 2022, 5:29:56 PM IST",Paid,₹85.00,Dheeraj Kumar Ram
"Apr 23, 2022, 5:29:11 PM IST",Paid,₹120.00,SELVAKUMAR J
"Apr 23, 2022, 9:05:10 AM IST",Paid,₹15.00,Jio Prepaid
"Apr 22, 2022, 7:33:21 PM IST",Paid,₹10.00,Ramadass R
"Apr 22, 2022, 7:21:50 PM IST",Paid,₹20.00,Jai Sri Krishna Autimobiles
"Apr 21, 2022, 9:48:37 AM IST",Paid,₹50.00,SELVAKUMAR J
"Apr 20, 2022, 10:53:22 PM IST",Received,₹1000.00,
"Apr 18, 2022, 11:32:15 PM IST",Sent,₹500.00,
"Apr 18, 2022, 7:15:18 PM IST",Paid,₹1050.00,Mr Dhinesh Kumar G
"Apr 18, 2022, 2:32:50 PM IST",Received,₹50.00,
"Apr 18, 2022, 2:25:09 PM IST",Sent,₹2875.00,
"Apr 18, 2022, 2:24:52 PM IST",Sent,₹2875.00,
"Apr 18, 2022, 2:24:39 PM IST",Sent,₹2875.00,
"Apr 17, 2022, 11:47:13 PM IST",Paid,₹3000.00,
"Apr 17, 2022, 11:47:09 PM IST",Paid,₹3000.00,
"Apr 17, 2022, 11:46:40 PM IST",Paid,₹3000.00,
"Apr 17, 2022, 7:07:19 PM IST",Received,₹500.00,
"Apr 17, 2022, 5:39:31 PM IST",Sent,₹1000.00,
"Apr 17, 2022, 5:38:32 PM IST",Paid,₹1000.00,
"Apr 17, 2022, 5:38:25 PM IST",Paid,₹1000.00,
"Apr 17, 2022, 1:19:07 PM IST",Paid,₹170.00,
"Apr 15, 2022, 9:37:08 PM IST",Paid,₹90.00,Amman Chettinadu Hotel
"Apr 14, 2022, 11:01:29 AM IST",Paid,₹834.00,Confirm Ticket
"Apr 14, 2022, 10:49:31 AM IST",Paid,₹534.00,Confirm Ticket
"Apr 14, 2022, 7:31:55 AM IST",Sent,₹800.00,
"Apr 13, 2022, 7:28:38 AM IST",Paid,₹165.00,Sm Mutton And Chicken Stall
"Apr 12, 2022, 6:32:47 PM IST",Received,₹100.00,
"Apr 11, 2022, 10:26:14 PM IST",Sent,₹240.00,
"Apr 10, 2022, 6:53:55 PM IST",Received,₹390.00,
"Apr 10, 2022, 6:46:30 PM IST",Sent,₹8950.00,
"Apr 10, 2022, 6:45:47 PM IST",Paid,₹8950.00,
"Apr 10, 2022, 6:45:10 PM IST",Paid,₹8950.00,
"Apr 10, 2022, 6:44:21 PM IST",Sent,₹390.00,
"Apr 10, 2022, 8:41:49 AM IST",Sent,₹2000.00,
"Apr 9, 2022, 11:43:02 AM IST",Sent,₹100.00,
"Apr 8, 2022, 8:49:59 PM IST",Paid,₹1250.00,
"Apr 8, 2022, 7:53:02 PM IST",Paid,₹120.00,Gurukarthikeyan C
"Apr 7, 2022, 6:30:14 PM IST",Sent,₹1000.00,
"Apr 6, 2022, 8:52:51 PM IST",Paid,₹242.00,Sun Direct
"Apr 6, 2022, 2:40:34 PM IST",Received,₹800.00,
"Apr 5, 2022, 2:34:41 PM IST",Paid,₹850.00,SUPREME S MOBILE
"Apr 3, 2022, 9:09:55 PM IST",Received,₹3000.00,
"Apr 3, 2022, 9:04:31 PM IST",Sent,₹200.00,
"Apr 3, 2022, 9:00:57 PM IST",Sent,₹1.00,
"Apr 2, 2022, 8:56:30 PM IST",Paid,₹120.00,Mohamed Asik Arabath A
"Apr 2, 2022, 7:39:46 PM IST",Paid,₹25.00,Jio Prepaid
"Apr 2, 2022, 11:25:58 AM IST",Received,₹500.00,
"Apr 1, 2022, 10:26:12 PM IST",Paid,₹500.00,CCAVENUES
"Apr 1, 2022, 10:24:22 PM IST",Paid,₹1000.00,Techprocess
"Apr 1, 2022, 10:18:35 PM IST",Paid,₹647.82,ACT  Broadband
"Apr 1, 2022, 10:18:19 PM IST",Paid,₹647.82,ACT  Broadband
"Apr 1, 2022, 10:16:18 PM IST",Paid,₹1015.50,IndianOil Corporation Ltd
"Apr 1, 2022, 9:40:07 PM IST",Paid,₹190.00,
"Mar 31, 2022, 11:54:32 PM IST",Paid,₹5000.00,
"Mar 31, 2022, 11:49:40 PM IST",Paid,₹95.00,Tamil Nadu Electricity (TNEB)
"Mar 31, 2022, 9:04:06 PM IST",Paid,₹6260.00,
"Mar 31, 2022, 8:46:58 PM IST",Received,₹1260.00,
"Mar 27, 2022, 4:53:33 PM IST",Paid,₹100.00,Indian Oil
"Mar 27, 2022, 11:12:21 AM IST",Paid,₹25.00,Jio Prepaid
"Mar 25, 2022, 7:26:49 PM IST",Paid,₹20.00,RAMESH KUMAR P
"Mar 25, 2022, 4:37:05 PM IST",Received,₹100.00,
"Mar 24, 2022, 6:18:05 PM IST",Sent,₹500.00,
"Mar 23, 2022, 9:02:44 AM IST",Paid,₹25.00,Jio Prepaid
"Mar 21, 2022, 9:12:17 PM IST",Sent,₹50.00,
"Mar 20, 2022, 10:04:23 PM IST",Sent,₹1600.00,
"Mar 20, 2022, 12:13:26 AM IST",Paid,₹4500.00,
"Mar 19, 2022, 11:34:50 PM IST",Sent,₹190.75,
"Mar 17, 2022, 9:15:36 PM IST",Sent,₹170.00,
"Mar 15, 2022, 11:27:51 PM IST",Received,₹95.00,
"Mar 15, 2022, 6:27:04 PM IST",Paid,₹140.00,V V V Subway
"Mar 15, 2022, 1:00:07 AM IST",Sent,₹285.00,
"Mar 12, 2022, 5:30:02 PM IST",Paid,₹2870.00,OM SAKTHI MOTORS
"Mar 10, 2022, 9:27:06 PM IST",Paid,₹175.00,MASS RESTAURANT
"Mar 9, 2022, 9:09:04 PM IST",Sent,₹100.00,
"Mar 8, 2022, 8:58:57 PM IST",Sent,₹30.00,
"Mar 7, 2022, 9:36:31 PM IST",Paid,₹125.00,Mass Restaurant
"Mar 7, 2022, 8:01:20 PM IST",Sent,₹8800.00,
"Mar 4, 2022, 10:26:54 PM IST",Paid,₹395.00,Jio Mobility
"Mar 3, 2022, 9:16:23 PM IST",Sent,₹75.00,
"Mar 3, 2022, 9:15:38 PM IST",Sent,₹89.00,
"Mar 3, 2022, 7:42:45 PM IST",Sent,₹500.00,
"Mar 3, 2022, 7:39:32 PM IST",Paid,₹6453.00,HDFC STANDARD LIFE CONVENTIONAL
"Mar 2, 2022, 8:14:18 PM IST",Paid,₹500.00,CCAVENUES
"Mar 2, 2022, 7:57:13 PM IST",Paid,₹242.00,Sun Direct
"Mar 2, 2022, 7:45:27 PM IST",Paid,₹218.00,
"Mar 2, 2022, 12:25:50 PM IST",Sent,₹200.00,
"Mar 2, 2022, 2:01:04 AM IST",Paid,₹647.82,ACT  Broadband
"Mar 1, 2022, 8:12:24 PM IST",Sent,₹500.00,
"Mar 1, 2022, 4:33:04 PM IST",Paid,₹2380.00,
"Feb 27, 2022, 12:57:23 PM IST",Paid,₹35.00,A M NATTU MARUNDHU KADAI
"Feb 27, 2022, 10:08:49 AM IST",Received,₹280.00,
"Feb 27, 2022, 9:33:36 AM IST",Paid,₹220.00,
"Feb 26, 2022, 10:04:38 AM IST",Received,₹600.00,
"Feb 26, 2022, 9:55:45 AM IST",Paid,₹100.00,Sree Balaji Enterprises
"Feb 26, 2022, 9:55:24 AM IST",Paid,₹100.00,Sree Balaji Enterprises
"Feb 25, 2022, 7:56:20 PM IST",Sent,₹25.00,
"Feb 25, 2022, 7:53:59 PM IST",Sent,₹1200.00,
"Feb 25, 2022, 7:45:26 PM IST",Paid,₹75.00,SHAHNAS T
"Feb 25, 2022, 1:27:38 PM IST",Paid,₹80.00,
"Feb 25, 2022, 9:46:05 AM IST",Paid,₹80.00,
"Feb 24, 2022, 11:00:03 PM IST",Paid,₹462.80,BOOKMYSHOW
"Feb 21, 2022, 7:48:16 PM IST",Paid,₹540.00,Topi Vappa Madipakkam
"Feb 20, 2022, 8:45:16 PM IST",Paid,₹600.00,Style Loft Menswear
"Feb 20, 2022, 2:57:06 PM IST",Paid,₹90.00,Dum Biriyani
"Feb 20, 2022, 9:38:49 AM IST",Paid,₹2000.00,
"Feb 20, 2022, 9:38:43 AM IST",Paid,₹2000.00,
"Feb 20, 2022, 9:05:12 AM IST",Sent,₹500.00,
"Feb 20, 2022, 9:03:41 AM IST",Sent,₹1.00,
"Feb 19, 2022, 10:23:31 PM IST",Sent,₹83.00,
"Feb 19, 2022, 9:25:44 AM IST",Paid,₹470.00,
"Feb 19, 2022, 7:26:18 AM IST",Paid,₹1899.00,
"Feb 19, 2022, 7:25:37 AM IST",Paid,₹1.00,
"Feb 18, 2022, 11:35:11 PM IST",Sent,₹1500.00,
"Feb 18, 2022, 9:52:31 PM IST",Paid,₹150.00,
"Feb 17, 2022, 8:35:24 PM IST",Paid,₹1600.00,M M Jewellery
"Feb 17, 2022, 8:24:45 PM IST",Received,₹1500.00,
"Feb 17, 2022, 7:39:33 AM IST",Paid,"₹20,000.00",
"Feb 16, 2022, 7:34:31 AM IST",Paid,₹242.00,Sun Direct
"Feb 15, 2022, 10:29:37 PM IST",Received,₹190.00,
"Feb 15, 2022, 10:22:20 PM IST",Sent,₹190.00,
"Feb 15, 2022, 10:19:19 PM IST",Received,₹190.00,
"Feb 15, 2022, 10:19:02 PM IST",Received,₹4.00,Google
"Feb 15, 2022, 10:18:32 PM IST",Sent,₹190.00,
"Feb 14, 2022, 6:48:33 AM IST",Sent,₹14.00,
"Feb 12, 2022, 9:08:04 PM IST",Paid,₹1000.00,
"Feb 12, 2022, 9:07:21 PM IST",Sent,₹1500.00,
"Feb 11, 2022, 8:29:38 PM IST",Paid,₹155.00,Vinayakha Medicals A
"Feb 11, 2022, 7:05:16 PM IST",Paid,₹25.00,Saravana Sweets Bakery
"Feb 11, 2022, 8:58:09 AM IST",Paid,₹179.00,Vi Prepaid
"Feb 10, 2022, 11:22:30 PM IST",Paid,"₹10,000.00",
"Feb 10, 2022, 7:44:30 PM IST",Received,"₹10,000.00",
"Feb 8, 2022, 2:20:00 PM IST",Received,₹1200.00,
"Feb 7, 2022, 12:46:14 PM IST",Received,₹80.00,
"Feb 7, 2022, 10:22:04 AM IST",Sent,"₹10,000.00",
"Feb 7, 2022, 8:47:05 AM IST",Paid,₹229.00,ConfirmTkt
"Feb 6, 2022, 10:20:47 AM IST",Paid,₹688.00,ConfirmTkt
"Feb 5, 2022, 8:21:23 PM IST",Received,₹60.00,
"Feb 5, 2022, 8:20:46 PM IST",Received,₹80.00,
"Feb 5, 2022, 8:20:36 PM IST",Received,₹60.00,
"Feb 5, 2022, 8:43:39 AM IST",Received,₹600.00,
"Feb 3, 2022, 11:15:51 PM IST",Paid,₹98.00,Groww
"Feb 3, 2022, 10:54:13 PM IST",Paid,₹128.00,Groww
"Feb 3, 2022, 10:40:39 PM IST",Paid,₹550.00,Groww
"Feb 2, 2022, 7:53:41 PM IST",Sent,₹990.00,
"Feb 1, 2022, 10:51:08 PM IST",Received,₹10.00,
"Feb 1, 2022, 10:37:50 PM IST",Received,₹1990.00,
"Feb 1, 2022, 9:12:02 PM IST",Sent,₹1000.00,
"Feb 1, 2022, 8:51:52 PM IST",Sent,₹2000.00,
"Feb 1, 2022, 8:18:12 PM IST",Paid,₹500.00,CCAVENUES
"Feb 1, 2022, 8:05:01 PM IST",Paid,₹2380.00,
